"BANK_CODE","BANK_NAME","BIC_CODE"
"10","Markazi","BMJJIRTHXXX"
"11","Sanat o Madan","BOIMIRTHXXX"
"12","Mellat","BKMTIRTHXXX"
"13","Refah","REFAIRTHXXX"
"14","Maskan","BKMNIRTHXXX"
"15","Sepah","SEPBIRTHXXX"
"15","Sepah","SEPBIRTHXXX"
"16","Keshavarzi","KESHIRTHXXX"
"16","Keshavarzi","KESHIRTHXXX"
"17","Melli","MELIIRTHXXX"
"18","Tejarat","BTEJIRTHXXX"
"19","Saderat","BSIRIRTHXXX"
"20","Tosee Saderat","EDBIIRTHXXX"
"21","PostBank","PBIRIRTHXXX"
"22","Tosee Taavon","TTBIIRTHXXX"
"51","Etebari Tosee","BTOSIRTHXXX"
"52","Ghavamin","GHVMIRTHXXX"
"53","Karafarin","KBIDIRTHXXX"
"53","Karafarin","KBIDIRTHXXX"
"54","Parsian","BKPAIRTHXXX"
"55","Eghtesad Novin","BEGNIRTHXXX"
"56","Saman","SABCIRTHXXX"
"57","Pasargad","BKBPIRTHXXX"
"58","Sarmayeh","SRMBIRTHXXX"
"59","Sina","SINAIRTHXXX"
"60","Mehr","MEHRIRTHXXX"
"61","Shahr","CIYBIRTHXXX"
"62","Ayandeh","AYBKIRTHXXX"
"63","Ansar","ANSBIRTHXXX"
"64","Gardeshgari","TOSMIRTHXXX"
"65","Hekmat Iranian","HEKMIRTHXXX"
"66","Day","DAYBIRTHXXX"
"69","Iran Zamin","IRZAIRTHXXX"
"70","Resalat","RESAIRTHXXX"
"73","Kosar","KSACIRTHXXX"
"75","Asgarieh","TOUSIRTHXXX"
"78","Khavaremiyaneh","KHMIIRTHXXX"
"78","Khavaremiyaneh","KHMIIRTHXXX"
"95","Iran-Venezuela","IVBBIRTHXXX"
"80","Noor","NOORIRTHXXX"
"93","Shaparak","BMJSIRTHXXX"
"79","Mehre Eghtesad","BMEQIRTHXXX"
"18","Tejarat","BTEJIRTHXXX"
"92","Shaparak Payment Facilitator Settlement","BMJFIRTHXXX"
