
Processing ACH files from the base file [.\IN\Zip\Batch_Ach_Cycle_01_14000511] started at 2021-08-02 10:06:50.203000

Time to build data in memory: 18.7300000191

Index | Record Count | File Name 
------|--------------|--------------------------------------------------------------------------------
     1|         43807|Ach_Cycle_01_14000511_581672082.txt
------|--------------|--------------------------------------------------------------------------------
     2|        260184|Ach_Cycle_01_14000511_581672091.txt
------|--------------|--------------------------------------------------------------------------------
     3|         27457|Ach_Cycle_01_14000511_581672081.txt
------|--------------|--------------------------------------------------------------------------------
     4|        677812|Ach_Cycle_01_14000511_581672111.txt
------|--------------|--------------------------------------------------------------------------------
     5|        121070|Ach_Cycle_01_14000511_581672121.txt
------|--------------|--------------------------------------------------------------------------------
     6|          4983|Ach_Cycle_01_14000511_581672052.txt
------|--------------|--------------------------------------------------------------------------------
     7|        724159|Ach_Cycle_01_14000511_581672132.txt
------|--------------|--------------------------------------------------------------------------------
     8|       1041844|Ach_Cycle_01_14000511_581672061.txt
------|--------------|--------------------------------------------------------------------------------
     9|        140080|Ach_Cycle_01_14000511_581672062.txt
------|--------------|--------------------------------------------------------------------------------
    10|             2|Ach_Cycle_01_14000511_581672021.txt
------|--------------|--------------------------------------------------------------------------------
    11|         28235|Ach_Cycle_01_14000511_581672022.txt
------|--------------|--------------------------------------------------------------------------------
    12|        355415|Ach_Cycle_01_14000511_581672042.txt
------|--------------|--------------------------------------------------------------------------------
    13|         36795|Ach_Cycle_01_14000511_581672142.txt
------|--------------|--------------------------------------------------------------------------------
    14|        862328|Ach_Cycle_01_14000511_581672141.txt
------|--------------|--------------------------------------------------------------------------------
    15|        713768|Ach_Cycle_01_14000511_581672041.txt
------|--------------|--------------------------------------------------------------------------------
    16|       1105614|Ach_Cycle_01_14000511_581672011.txt
------|--------------|--------------------------------------------------------------------------------
    17|        164785|Ach_Cycle_01_14000511_581672051.txt
------|--------------|--------------------------------------------------------------------------------
    18|         36256|Ach_Cycle_01_14000511_581672032.txt
------|--------------|--------------------------------------------------------------------------------
    19|        622912|Ach_Cycle_01_14000511_581672031.txt
------|--------------|--------------------------------------------------------------------------------
    20|           303|Ach_Cycle_01_14000511_581672043.txt
------|--------------|--------------------------------------------------------------------------------
 + A total of [6967809] ACH transaction summing to [000222025627073695] are categorized for [20] switches

 + Process time: 21.7289998531
 + Processing 81 ACH files is finished at 2021-08-02 10:07:11.932000
______________________________________________________________________________________________________

Processing ACH files from the base file [.\IN\Zip\Batch_Ach_Cycle_01_14000511] started at 2021-08-02 12:11:07.433000

Time to build data in memory: 18.4979999065

Index | Record Count | File Name 
------|--------------|--------------------------------------------------------------------------------
     1|         43807|Ach_Cycle_01_14000511_581672082.txt
------|--------------|--------------------------------------------------------------------------------
     2|        260184|Ach_Cycle_01_14000511_581672091.txt
------|--------------|--------------------------------------------------------------------------------
     3|         27457|Ach_Cycle_01_14000511_581672081.txt
------|--------------|--------------------------------------------------------------------------------
     4|        677812|Ach_Cycle_01_14000511_581672111.txt
------|--------------|--------------------------------------------------------------------------------
     5|        121070|Ach_Cycle_01_14000511_581672121.txt
------|--------------|--------------------------------------------------------------------------------
     6|          4983|Ach_Cycle_01_14000511_581672052.txt
------|--------------|--------------------------------------------------------------------------------
     7|        724159|Ach_Cycle_01_14000511_581672132.txt
------|--------------|--------------------------------------------------------------------------------
     8|       1041844|Ach_Cycle_01_14000511_581672061.txt
------|--------------|--------------------------------------------------------------------------------
     9|        140080|Ach_Cycle_01_14000511_581672062.txt
------|--------------|--------------------------------------------------------------------------------
    10|             2|Ach_Cycle_01_14000511_581672021.txt
------|--------------|--------------------------------------------------------------------------------
    11|         28235|Ach_Cycle_01_14000511_581672022.txt
------|--------------|--------------------------------------------------------------------------------
    12|        355415|Ach_Cycle_01_14000511_581672042.txt
------|--------------|--------------------------------------------------------------------------------
    13|         36795|Ach_Cycle_01_14000511_581672142.txt
------|--------------|--------------------------------------------------------------------------------
    14|        862328|Ach_Cycle_01_14000511_581672141.txt
------|--------------|--------------------------------------------------------------------------------
    15|        713768|Ach_Cycle_01_14000511_581672041.txt
------|--------------|--------------------------------------------------------------------------------
    16|       1105614|Ach_Cycle_01_14000511_581672011.txt
------|--------------|--------------------------------------------------------------------------------
    17|        164785|Ach_Cycle_01_14000511_581672051.txt
------|--------------|--------------------------------------------------------------------------------
    18|         36256|Ach_Cycle_01_14000511_581672032.txt
------|--------------|--------------------------------------------------------------------------------
    19|        622912|Ach_Cycle_01_14000511_581672031.txt
------|--------------|--------------------------------------------------------------------------------
    20|           303|Ach_Cycle_01_14000511_581672043.txt
------|--------------|--------------------------------------------------------------------------------
 + A total of [6967809] ACH transaction summing to [000222025627073695] are categorized for [20] switches

 + Process time: 21.4519999027
 + Processing 81 ACH files is finished at 2021-08-02 12:11:28.885000
______________________________________________________________________________________________________

Processing ACH files from the base file [.\IN\Zip\Batch_Ach_Cycle_01_14000511] started at 2021-08-02 13:24:24.541000

Time to build data in memory: 18.4070000648

Index | Record Count | File Name 
------|--------------|--------------------------------------------------------------------------------
     1|         43807|Ach_Cycle_01_14000511_581672082.txt
------|--------------|--------------------------------------------------------------------------------
     2|        260184|Ach_Cycle_01_14000511_581672091.txt
------|--------------|--------------------------------------------------------------------------------
     3|         27457|Ach_Cycle_01_14000511_581672081.txt
------|--------------|--------------------------------------------------------------------------------
     4|        677812|Ach_Cycle_01_14000511_581672111.txt
------|--------------|--------------------------------------------------------------------------------
     5|        121070|Ach_Cycle_01_14000511_581672121.txt
------|--------------|--------------------------------------------------------------------------------
     6|          4983|Ach_Cycle_01_14000511_581672052.txt
------|--------------|--------------------------------------------------------------------------------
     7|        724159|Ach_Cycle_01_14000511_581672132.txt
------|--------------|--------------------------------------------------------------------------------
     8|       1041844|Ach_Cycle_01_14000511_581672061.txt
------|--------------|--------------------------------------------------------------------------------
     9|        140080|Ach_Cycle_01_14000511_581672062.txt
------|--------------|--------------------------------------------------------------------------------
    10|             2|Ach_Cycle_01_14000511_581672021.txt
------|--------------|--------------------------------------------------------------------------------
    11|         28235|Ach_Cycle_01_14000511_581672022.txt
------|--------------|--------------------------------------------------------------------------------
    12|        355415|Ach_Cycle_01_14000511_581672042.txt
------|--------------|--------------------------------------------------------------------------------
    13|         36795|Ach_Cycle_01_14000511_581672142.txt
------|--------------|--------------------------------------------------------------------------------
    14|        862328|Ach_Cycle_01_14000511_581672141.txt
------|--------------|--------------------------------------------------------------------------------
    15|        713768|Ach_Cycle_01_14000511_581672041.txt
------|--------------|--------------------------------------------------------------------------------
    16|       1105614|Ach_Cycle_01_14000511_581672011.txt
------|--------------|--------------------------------------------------------------------------------
    17|        164785|Ach_Cycle_01_14000511_581672051.txt
------|--------------|--------------------------------------------------------------------------------
    18|         36256|Ach_Cycle_01_14000511_581672032.txt
------|--------------|--------------------------------------------------------------------------------
    19|        622912|Ach_Cycle_01_14000511_581672031.txt
------|--------------|--------------------------------------------------------------------------------
    20|           303|Ach_Cycle_01_14000511_581672043.txt
------|--------------|--------------------------------------------------------------------------------
 + A total of [6967809] ACH transaction summing to [000222025627073695] are categorized for [20] switches

 + Process time: 21.0320000648
 + Processing 81 ACH files is finished at 2021-08-02 13:24:45.573000
______________________________________________________________________________________________________

Processing ACH files from the base file [.\IN\Zip\Batch_Ach_Cycle_01_14000512] started at 2021-08-03 05:31:54.660000

Time to build data in memory: 18.9949998856

Index | Record Count | File Name 
------|--------------|--------------------------------------------------------------------------------
     1|         31109|Ach_Cycle_01_14000512_581672082.txt
------|--------------|--------------------------------------------------------------------------------
     2|        265407|Ach_Cycle_01_14000512_581672091.txt
------|--------------|--------------------------------------------------------------------------------
     3|         28016|Ach_Cycle_01_14000512_581672081.txt
------|--------------|--------------------------------------------------------------------------------
     4|        696475|Ach_Cycle_01_14000512_581672111.txt
------|--------------|--------------------------------------------------------------------------------
     5|        121890|Ach_Cycle_01_14000512_581672121.txt
------|--------------|--------------------------------------------------------------------------------
